Unnamed: 0,Регион,Год,Выброс загрязнений(тыс.тонн),Выделенный бюджет на защиту экологии
0,Республика Казахстан,2005.0,2968.8,43558237.5
17,Республика Казахстан,2006.0,2921.2,56320118.6
34,Республика Казахстан,2007.0,2915.0,58725515.7
51,Республика Казахстан,2008.0,2643.1,91288342.3
68,Республика Казахстан,2009.0,2320.0,102327887.7
85,Республика Казахстан,2010.0,2226.6,99652578.5
102,Республика Казахстан,2011.0,2346.3,99212904.8
119,Республика Казахстан,2012.0,2384.3,109437909.5
136,Республика Казахстан,2013.0,2282.7,129093789.0
153,Республика Казахстан,2014.0,2256.7,140578609.0
170,Республика Казахстан,2015.0,2180.0,174650049.0
187,Республика Казахстан,2016.0,2271.6,152205626.0
204,Республика Казахстан,2017.0,2357.8,175445180.0
221,Республика Казахстан,2018.0,2446.7,191015579.0
239,Республика Казахстан,2019.0,2483.1,221670479.0
257,Республика Казахстан,2020.0,2441.0,210397122.0
275,Республика Казахстан,2021.0,2407.4557910000003,245790216.0
293,Республика Казахстан,2022.0,2314.8,284853377.0
706,Республика Казахстан,2023.0,2201.771434777773,262804824.6228752
