,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Республика Казахстан,2968.8,2921.2,2915.0,2643.1,2320.0,2226.6,2346.2999999999997,2384.3,2282.7,2256.7,2180.0,2271.6,2357.8,2446.7,2483.1,2441.0,2407.4557910000003,2314.8
Абай,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.0
Акмолинская,44.0,53.9,78.2,75.3,71.5,72.9,77.8,105.7,83.8,84.6,85.6,94.5,86.9,84.5,76.7,77.2,77.3,69.5
Актюбинская,168.2,199.0,204.6,208.9,218.4,125.3,119.8,123.9,125.4,121.8,134.3,155.6,169.5,158.1,136.6,135.1,137.4,136.5
Алматинская,68.4,71.8,62.4,68.3,71.3,74.7,73.4,64.3,68.4,51.6,55.0,50.3,43.4,50.2,48.1,46.3,47.9,28.8
Атырауская,89.4,95.0,107.7,106.4,100.2,97.8,107.4,133.1,138.4,109.1,110.7,167.1,177.0,172.3,164.5,153.9,160.3,132.1
Западно-Казахстанская,76.4,52.3,47.3,42.0,49.6,58.1,55.9,62.0,60.4,44.7,42.4,42.5,41.5,48.2,41.2,30.8,26.0,25.8
Жамбылская,18.9,20.0,21.2,28.9,16.7,19.3,24.9,40.7,33.6,38.2,41.9,52.4,51.9,52.1,55.8,55.0,55.8,52.9
Жетісу,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.08
Карагандинская,1415.4,1303.2,1265.9,991.6,687.7,661.2,691.3,641.4,572.6,603.6,596.4,593.0,598.7,587.5,641.3,627.7,569.7,469.0
Костанайская,100.4,118.1,115.6,106.3,111.0,114.5,109.4,100.6,115.4,103.8,91.6,98.7,114.8,124.0,130.5,123.4,137.9,121.4
Кызылординская,40.0,35.9,36.3,34.7,33.9,29.0,31.9,31.1,31.2,30.8,30.1,30.1,27.5,26.0,24.4,28.3,29.2,23.4
Мангистауская,63.5,66.7,64.9,61.7,64.3,68.6,75.8,64.2,77.5,88.3,72.5,65.8,62.6,65.5,64.5,72.5,75.2,78.7
Южно-Казахстанская,36.8,38.9,39.9,40.4,39.9,40.7,47.1,48.6,56.3,59.9,69.0,72.1,68.2,-,-,-,-,-
Павлодарская,556.8,582.9,575.4,596.6,560.8,572.5,632.2,675.9,650.4,610.2,552.9,542.7,609.8,709.3,721.5,723.0,736.12,724.2
Северо-Казахстанская,65.5,66.2,69.3,73.0,77.7,77.8,77.0,75.7,71.4,72.0,74.9,77.7,76.4,75.5,74.7,76.0,61.2,52.7
Туркестанская ,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,33.5,28.1,29.0,25.2
Ұлытау,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,105.0
Восточно-Казахстанская,165.7,157.8,166.5,151.4,149.2,147.0,147.2,140.1,125.0,129.6,127.1,128.6,129.3,130.7,128.8,127.2,128.1,83.3
г. Астана,43.9,44.4,44.7,43.7,56.5,56.2,63.5,64.9,60.6,65.1,56.3,61.6,59.2,56.4,65.1,62.4,62.2,57.7
г. Алматы,15.5,15.1,15.1,13.9,11.3,11.0,11.7,12.1,12.4,43.5,39.1,38.8,41.1,43.0,46.1,44.5,40.8,41.5
г.Шымкент,-,-,-,-,-,-,-,-,-,-,-,-,-,33.4,29.8,29.6,33.2,35.0
